arquivo,estilo_real,estilo_llm,justificativa,elementos
samba_Na Roda com os Amigos.mp3,samba,samba,"A música apresenta instrumentos característicos como cavaquinho, pandeiro, tantã e repique, que criam um ritmo contagiante e sincopado. A melodia e a harmonia são típicas do gênero, e a letra faz menção explícita a 'roda de samba', reforçando a identidade musical.","cavaquinho, pandeiro, tantã, repique, violão, voz principal, coro, ritmo sincopado e alegre"
forro_Dança na Poeira (1).mp3,forro,forró,"A música apresenta a sanfona como instrumento principal, acompanhada por um ritmo contagiante e marcante de zabumba e triângulo, característicos do forró. As letras também mencionam explicitamente o 'forró' e a 'dança na poeira', reforçando a identidade do gênero.","sanfona, zabumba, triângulo, baixo, bateria, voz masculina"
samba_No Pé do Morro (1).mp3,samba,samba,"A música apresenta um ritmo contagiante e sincopado, impulsionado por uma percussão marcante com pandeiro, surdo e tamborim, além do cavaquinho e violão, que são elementos clássicos do samba. A melodia e a letra, que explicitamente mencionam 'samba bom' e 'balanço do samba', reforçam a identificação clara com o gênero.","pandeiro, surdo, tamborim, cavaquinho, violão, baixo, bateria, voz masculina, backing vocals, ritmo sincopado"
samba_No Pé do Morro.mp3,samba,pagode,"A música apresenta um ritmo contagiante e sincopado, característico do pagode, com instrumentação típica como cavaquinho, violão e percussão marcante (pandeiro, tantã). A melodia vocal e a 'vibe' festiva e comunitária reforçam essa identificação, remetendo a uma roda de samba alegre.","cavaquinho, violão, pandeiro, tantã, voz masculina, coro, ritmo sincopado, vibração festiva"
forro_Dançando na Chuva.mp3,forro,forró,"A música apresenta claramente os elementos musicais e líricos do forró. A sanfona, o zabumba e o triângulo são os instrumentos dominantes, criando um ritmo contagiante e dançante. A letra faz referência ao ""sertão"" e a ""dançar na chuva"", temas muito comuns neste estilo musical, evocando uma atmosfera de festa popular e alegria.","sanfona (acordeon), zabumba, triângulo, ritmo animado e dançante, vocal feminino enérgico"
forro_Dançando na Chuva (1).mp3,forro,forró,"A música apresenta elementos instrumentais e rítmicos marcantes do forró, como a sanfona em destaque, a percussão com zabumba e o ritmo dançante e contagiante, além da melodia vocal típica do gênero. A letra também remete a temas regionais associados ao forró.","sanfona, zabumba, triângulo, baixo, guitarra, vocal feminino, ritmo dançante, melodia alegre"
forro_Dança na Poeira.mp3,forro,forró,"A música apresenta claramente os elementos típicos do forró, como a sanfona melódica, o ritmo marcante da zabumba e do triângulo, além da vocalização e temática lírica que evocam as festas e a dança características deste gênero musical nordestino.","sanfona, zabumba, triângulo, baixo, guitarra, vocal masculino, ritmo dançante"
mpb_Samba na Lua.mp3,mpb,samba,"A música apresenta um ritmo sincopado característico, percussão marcante (como pandeiro), um violão que conduz a harmonia e o ritmo, e um vocal melódico. A sonoridade é leve, dançante e evoca a atmosfera festiva e descontraída típica do samba brasileiro. A letra faz menção explícita ao samba, confirmando o estilo.","violão acústico, percussão (pandeiro e outros instrumentos de percussão menor), ritmo sincopado, vocal masculino melódico, atmosfera leve e dançante"
forro_Dançando com o Vento.mp3,forro,forró,"A música apresenta a sanfona como instrumento principal, um ritmo binário e dançante característico, com a presença marcante do triângulo e da zabumba, elementos essenciais do forró tradicional. A letra também faz menção direta ao estilo e à dança.","sanfona (acordeon), baixo, bateria, triângulo, voz masculina, ritmo dançante e sincopado"
forro_Dançando na Chuva (2).mp3,forro,forró,"A música é dominada pelo som da sanfona e um ritmo bastante característico, com batida acelerada e contagiante, perfeita para dançar a dois. A letra também menciona 'forró da chuva', reforçando a identificação com o gênero.","sanfona, voz feminina, bateria e percussão (zabumba, triângulo), baixo, guitarra, ritmo acelerado e dançante"
forro_Festa de Sol e Lua (1).mp3,forro,forró,"A música apresenta uma sanfona proeminente, um ritmo dançante característico do gênero, e uma melodia com a ""vibe"" festiva típica do forró. A letra inclusive menciona a sanfona, reforçando a identidade musical.","sanfona, bateria, baixo, violão, voz masculina, ritmo dançante e festivo"
forro_Dançando com a Lua.mp3,forro,forró,"A música apresenta elementos claros do forró, com a sanfona em destaque, acompanhada por zabumba e triângulo, que juntos criam o ritmo tradicional e dançante característico do gênero, como o xote lento mencionado na letra. A melodia e a instrumentação são típicas das festas juninas e da cultura nordestina.","sanfona, zabumba, triângulo, vocal masculino, ritmo de xote, melodia alegre e dançante"
mpb_Sob o Céu de Luar.mp3,mpb,mpb,"A música apresenta uma melodia suave e contemplativa, impulsionada por violão acústico e uma voz feminina expressiva. A adição de violoncelo e percussão leve cria uma atmosfera introspectiva e poética, características marcantes da Música Popular Brasileira, especialmente em formato de balada.","violão acústico, voz feminina, violoncelo (cordas), percussão leve (shaker, vassourinha)"
mpb_Samba na Lua (1).mp3,mpb,samba,"A música apresenta um ritmo de samba claro, impulsionado por violão acústico e percussão leve. A letra, que menciona explicitamente 'samba', e o vocal melódico e suave reforçam a identificação do estilo.","violão acústico, percussão de samba (shaker, pandeiro leve), baixo, vocal masculino suave, ritmo sincopado"
forro_Boi Encantado (1).mp3,forro,carimbo,"A canção apresenta um ritmo envolvente e contagiante, com temáticas líricas que remetem à cultura e às lendas do Norte do Brasil, como o 'Boi Encantado'. A sonoridade, com violão proeminente, percussão marcante e o solo de guitarra elétrica com uma melodia regional, é característica do Carimbó, um estilo musical originário do Pará.","violão (base e melodia), voz feminina principal, percussão (com elementos de tambor e chocalho/agogô), baixo, teclado/sintetizador, solo de guitarra elétrica expressivo, ritmo constante e dançante"
mpb_Sol na Varanda 3.mp3,mpb,mpb,"A música apresenta uma instrumentação predominantemente acústica com violão e piano, um ritmo lento e cadenciado, e um vocal feminino expressivo e melancólico. Esses elementos, combinados com a melodia fluida e o clima introspectivo, são características marcantes da Música Popular Brasileira (MPB).","violão acústico dedilhado e com acordes, piano com harmonias e frases melódicas, vocal feminino suave e expressivo, ritmo lento e contemplativo, melodia emotiva"
mpb_Sob a Lua do Sertão (1).mp3,mpb,mpb,"A música apresenta um violão acústico delicado, um violoncelo melódico, percussão suave e um vocal feminino expressivo em português, criando uma atmosfera contemplativa e poética, elementos típicos da MPB.","violão acústico, violoncelo, vocal feminino, percussão leve, baixo"
forro_Dançando na Chuva (3).mp3,forro,forró,"A música apresenta claramente os elementos característicos do forró, com destaque para a sanfona como instrumento principal, o ritmo dançante e a melodia alegre. A percussão e o baixo reforçam o balanço típico do gênero. A letra também remete a temas comuns do forró, como a natureza e o ato de dançar.","sanfona proeminente, ritmo acelerado e dançante, percussão com zabumba e triângulo (ou elementos que simulam), baixo marcante, vocal feminino com melodia característica, referências a temas rurais e festivos"
forro_Dança no Vento (1).mp3,forro,forró,"A música apresenta elementos rítmicos e instrumentais clássicos do forró, como a sanfona, a zabumba e o triângulo, que juntos criam uma sonoridade alegre e dançante, típica das festas populares do Nordeste brasileiro.","sanfona, zabumba, triângulo, vocal masculino, baixo, bateria"
samba_No Embalo da Saudade.mp3,samba,samba,"A música apresenta um ritmo contagiante e sincopado, característico do samba, com forte presença de cavaquinho, pandeiro e outros instrumentos de percussão. A melodia alegre e as letras que inclusive mencionam o samba reforçam essa identificação.","Cavaquinho, Pandeiro, Violão, Baixo, Percussão variada (como tamborim, chocalho), Voz masculina principal, Coro de vozes femininas, Ritmo sincopado e dançante"
samba_Doce Encanto.mp3,samba,mpb,"A música apresenta vocais suaves e melódicos, acompanhamento predominantemente acústico com violão em destaque, e uma atmosfera romântica e tranquila, características marcantes da MPB.","violão acústico, baixo, bateria leve, vocais masculinos suaves, backing vocals, ritmo mid-tempo, melodia romântica"
mpb_Sol de Janeiro (3).mp3,mpb,mpb,"A canção apresenta uma melodia suave com vocais femininos expressivos, acompanhamento de violão acústico e arranjos de cordas elegantes, criando uma atmosfera introspectiva e contemplativa, características marcantes da MPB.","violão acústico, cordas (violino, violoncelo), vocal feminino, percussão suave (chocalho), ritmo lento e fluído, vibe calma, introspectiva e melancólica"
samba_Doce Encanto (1).mp3,samba,mpb,"A música apresenta uma melodia suave e romântica, com destaque para o violão acústico e um vocal masculino calmo e expressivo. O ritmo é leve e cadenciado, e a harmonia sofisticada, características que são pilares da Música Popular Brasileira, que frequentemente mescla influências de bossa nova e balada.","violão acústico, vocal masculino suave, baixo, bateria com percussão leve, melodia romântica, andamento lento e cadenciado"
samba_Roda da Vida.mp3,samba,samba,"A música apresenta um ritmo contagiante e alegre, com instrumentação típica como cavaquinho, pandeiro e violão, além de percussão marcante. A melodia e a interpretação vocal são características do samba tradicional, evocando a atmosfera de uma roda de samba.","cavaquinho, pandeiro, violão, voz masculina, percussão brasileira (cuíca, tantã, tamborim), baixo"
mpb_Sob a Lua do Sertão.mp3,mpb,mpb,"A música apresenta um arranjo predominantemente acústico, com destaque para o violão e uma melodia vocal suave e emotiva. O ritmo é lento e introspectivo, com harmonias ricas e complexas. Esses elementos, combinados com a profundidade lírica e a execução refinada, são características marcantes da Música Popular Brasileira (MPB), que frequentemente explora temas contemplativos com arranjos sofisticados.","violão acústico proeminente, voz masculina melodiosa e expressiva, baixo sutil, bateria suave com escovas, harmonia rica e complexa, ritmo lento e introspectivo"
forro_Dançando na Poeira.mp3,forro,forró,"A música apresenta claramente os elementos clássicos do forró, como o ritmo marcado pela zabumba, a melodia vibrante da sanfona e o acompanhamento do triângulo. A letra também faz referências explícitas ao gênero e ao ambiente de dança típico do forró.","sanfona (acordeon), zabumba, triângulo, ritmo dançante e sincopado, vocal masculino"
samba_No Embalo da Saudade (1).mp3,samba,pagode,"A música apresenta a sonoridade característica do pagode, com a presença marcante do cavaquinho e da percussão (pandeiro, tamborim, surdo), um ritmo contagiante e letras que evocam um ambiente festivo e comunitário, típico do gênero.","cavaquinho, pandeiro, tamborim, surdo, violão, baixo, vocais masculinos"
mpb_Sol na Varanda (1).mp3,mpb,mpb,"A música apresenta uma sonoridade suave e melódica, com forte presença de violão acústico, ritmo cadenciado com bateria leve e vocais suaves e harmoniosos. Esses elementos, combinados com a atmosfera introspectiva, são distintivos da Música Popular Brasileira.","violão acústico, baixo elétrico, bateria leve (com vassourinhas/brushes), voz masculina, voz feminina"
mpb_Novo Amanhecer (2).mp3,mpb,mpb,"A música apresenta violão acústico como instrumento principal, voz masculina suave e um ritmo lento e envolvente, criando uma atmosfera introspectiva e melancólica, características marcantes da MPB.","violão acústico, voz masculina suave, baixo elétrico, percussão leve, ritmo lento e fluido"
forro_Dançando na Poeira (1).mp3,forro,forró,"A música apresenta a sanfona como instrumento principal, acompanhada de zabumba e triângulo, elementos essenciais do forró. O ritmo é dançante e contagiante, característico do forró 'pé de serra'. Além disso, a letra menciona explicitamente o gênero.","sanfona (acordeão), zabumba, triângulo, vocal masculino, ritmo dançante e sincopado, vibração festiva e regional"
mpb_Rock in Brasil.mp3,mpb,mpb,"A música apresenta um violão acústico com arranjos melódicos e intrincados, acompanhando uma voz masculina expressiva e suave. O ritmo é calmo e envolvente, com uma ""vibe"" introspectiva e soulful, reminiscentes de estilos acústicos e líricos que enfatizam a voz e o instrumento, características frequentemente encontradas na MPB.","violão acústico (dedilhado e com leves batidas), voz masculina solista, ritmo lento e melódico, atmosfera introspectiva e suave"
samba_Saia Rodada no Terreiro.mp3,samba,samba,"A música é impulsionada por uma rica tapeçaria de percussão, incluindo palmas, surdo, pandeiro e tamborim, criando um ritmo vibrante e contagiante. A presença de cavaquinho, violão e o estilo de canto com coro e chamada e resposta são marcas inconfundíveis do samba, evocando uma atmosfera de roda e celebração.","percussão (surdo, pandeiro, tamborim, palmas), cavaquinho, violão, baixo, vocal principal masculino, coro/backing vocals, ritmo síncopado e dançante"
samba_Saia Rodada no Terreiro (1).mp3,samba,carimbo,"A música apresenta um ritmo percussivo forte e contagiante, com vocais no estilo chamada e resposta, e uma atmosfera festiva e dançante. Os elementos auditivos, como a percussão marcante, os sons que remetem a um curimbó ('tum-tum-tum') e a letra que evoca a 'saia rodada' e o 'terreiro', são características proeminentes do carimbó, um estilo tradicional do Pará.","percussão variada (tambores, chocalhos, palmas), ritmo dançante e syncopado, vocais em estilo 'chamada e resposta', sons repetitivos 'tum-tum-tum' que evocam a percussão do curimbó, linha de baixo marcante, melodia festiva e cativante, letras que remetem à dança e cultura regional (ex: 'saia rodada', 'terreiro')"
samba_Roda da Vida (1).mp3,samba,samba,"A música apresenta elementos clássicos do samba, como o cavaquinho marcante, uma percussão rica com pandeiro e cuíca, e um ritmo contagiante e sincopado que remete diretamente ao gênero. A melodia e a ""vibe"" festiva são características inconfundíveis do samba, e a letra também faz menção explícita ao estilo.","cavaquinho, pandeiro, cuíca, tamborim, surdo, agogô, baixo, bateria, voz masculina, flauta ou instrumento de sopro melódico"
forro_No Meio do Salão.mp3,forro,sertanejo,"A música apresenta um ritmo animado e dançante, com grande destaque para a sanfona (acordeão) como instrumento principal, o que é um elemento marcante do sertanejo moderno, especialmente o universitário. A melodia romântica e a temática de festa e dança, aliadas à instrumentação e ao estilo vocal, se encaixam perfeitamente no gênero.","sanfona (acordeão) proeminente, bateria com ritmo dançante e percussão marcante, vocal masculino melódico, baixo rítmico, guitarra base, melodia festiva e romântica"
samba_Samba da Madrugada (2).mp3,samba,samba,"A música apresenta um ritmo contagiante e sincopado, impulsionado por uma forte seção de percussão, o som melódico e rítmico do cavaquinho e o violão. A melodia vocal alegre e as letras que mencionam explicitamente o 'samba da madrugada' e uma 'roda' confirmam a identidade do gênero, evocando uma atmosfera festiva e comunitária típica do samba brasileiro.","cavaquinho, violão (guitarra acústica), percussão (pandeiro, tamborim, surdo, reco-reco), vocais masculinos (principal e coro), baixo"
mpb_Sol de Cada Dia.mp3,mpb,mpb,"A música apresenta uma melodia suave e contemplativa, com proeminência do violão acústico e uma voz feminina expressiva. A orquestração com cordas e percussão discreta complementa a atmosfera introspectiva, características marcantes da Música Popular Brasileira (MPB).","violão acústico, voz feminina, cordas (violino/violoncelo), percussão leve, baixo"
samba_Samba do Sol.mp3,samba,samba,"A música apresenta instrumentos característicos como cavaquinho, violão e uma seção de percussão vibrante (pandeiro, surdo, chocalho), criando um ritmo sincopado e alegre, típico do samba. A letra também faz referência explícita ao 'samba do sol'.","cavaquinho, violão, pandeiro, surdo, chocalho, tamborim, percussão brasileira, ritmo sincopado, vocal masculino"
samba_Leve Como o Vento.mp3,samba,mpb,"A música apresenta uma melodia suave e envolvente, com destaque para o violão acústico que conduz a harmonia e o ritmo. A bateria é discreta, marcando um compasso leve e cadenciado, enquanto o baixo complementa a base rítmica. A voz masculina é melódica e calma, transmitindo uma sensação de aconchego e intimidade. Esses elementos, combinados à atmosfera romântica e introspectiva, são características marcantes da Música Popular Brasileira (MPB), que frequentemente explora arranjos acústicos e letras poéticas.","violão acústico principal, bateria suave e percussão leve (shaker), baixo melódico, voz masculina suave e afinada, melodia fluida e agradável, ritmo moderado e relaxante"
forro_iDancing in the Dust.mp3,forro,forró,"A música apresenta um ritmo acelerado e dançante, com a sanfona (acordeão) conduzindo a melodia de forma proeminente. A percussão marcante, incluindo o triângulo e bateria, junto com o violino (fiddle) e o baixo, criam uma atmosfera festiva e tradicionalmente ligada ao forró, um gênero musical e de dança brasileiro.","sanfona (acordeão), bateria, baixo, violino (fiddle), triângulo, vocais masculinos"
mpb_Sol de Janeiro (1).mp3,mpb,mpb,"A música apresenta violão acústico como instrumento principal, acompanhado por voz feminina emotiva, baixo e percussão suave. A melodia é introspectiva e poética, com letras em português, características marcantes da Música Popular Brasileira (MPB).","violão acústico, voz feminina, baixo, bateria suave/percussão, teclado/piano"
mpb_Sol de Janeiro.mp3,mpb,mpb,"A música apresenta uma melodia suave e envolvente, com instrumentação acústica predominante. O ritmo possui uma base claramente inspirada no samba, mas a harmonia, a complexidade melódica dos vocais e a atmosfera geral remetem ao estilo da Música Popular Brasileira (MPB), que frequentemente incorpora elementos de samba e bossa nova em arranjos mais elaborados e poéticos.","violão acústico, voz feminina suave, percussão com características de pandeiro/samba, baixo, flauta melódica"
samba_eLenda de Iara.mp3,samba,mpb,"A música apresenta uma instrumentação predominantemente acústica, com um violão marcante no fingerstyle, baixo melódico e um vocal feminino suave e expressivo. A atmosfera é calma e introspectiva, com uma melodia cativante e arranjos sofisticados, características típicas da MPB.","violão acústico (fingerstyle), voz feminina principal, baixo elétrico, ritmo suave e cadenciado, atmosfera melancólica e etérea"
mpb_Sol de Janeiro (2).mp3,mpb,mpb,"A música apresenta um arranjo suave e sofisticado, com forte presença de violão acústico, ritmo cadenciado e melodia envolvente. A interpretação vocal é delicada e as letras poéticas, características marcantes da MPB, que frequentemente incorpora influências de samba e bossa nova em uma roupagem contemporânea.","violão acústico (fingerpicking e batida), voz feminina principal, backing vocals, baixo elétrico, bateria (com ritmo leve e percussão sutil), piano/teclado, percussão (shaker, possivelmente pandeiro)"
mpb_Sob o Céu de Luar (1).mp3,mpb,mpb,"A canção apresenta uma vocalização feminina expressiva, acompanhada por um piano que estabelece a base melódica e harmônica, e arranjos de cordas (violino e violoncelo) que adicionam profundidade e um tom introspectivo. O ritmo lento e a atmosfera contemplativa, juntamente com a sofisticação harmônica e a ênfase na narrativa lírica em português, são características marcantes da MPB (Música Popular Brasileira), especialmente em suas baladas mais emotivas.","piano como instrumento principal, vocal feminino com melodia e dicção claras, arranjos de cordas (violino/violoncelo) proeminentes, ritmo lento e cadenciado, atmosfera melancólica e introspectiva"
forro_Festa de Sol e Lua.mp3,forro,forró,"A música apresenta a sanfona como instrumento principal, com um ritmo dançante e marcante de bateria e baixo, característicos do forró, especialmente o forró universitário ou eletrônico. A melodia e a ""vibe"" remetem diretamente a este gênero musical nordestino do Brasil.","sanfona (acordeão), bateria com ritmo forrozeiro, baixo, guitarra, vocal masculino"
mpb_Sol na Varanda.mp3,mpb,mpb,"A música apresenta uma sonoridade acústica com destaque para o violão e uma voz feminina suave, criando uma atmosfera calma e introspectiva. A melodia e harmonia são características da Música Popular Brasileira, com um ritmo constante e a cadência vocal típica do gênero.","violão acústico, voz feminina suave, melodia calma e harmoniosa, ritmo suave e constante"
samba_Saia Rodada.mp3,samba,pagode,"A música apresenta um ritmo animado e dançante, com o cavaquinho e percussão característica (como pandeiro e tamborim) em evidência, acompanhados por vocais harmoniosos. Esses são elementos fundamentais do pagode, um subgênero do samba.","cavaquinho, pandeiro, tamborim, violão, voz masculina principal, backing vocals, ritmo sincopado"
mpb_Saudade Carioca.mp3,mpb,mpb,"A canção apresenta uma melodia complexa e uma harmonia sofisticada, características marcantes da MPB. O arranjo delicado, com violão acústico e a adição de instrumentos de cordas, cria uma atmosfera introspectiva e melancólica, comum em baladas do gênero, que frequentemente absorvem influências de folk e música clássica, mesmo com vocais em inglês. Apesar da ausência de ritmos brasileiros explícitos, a musicalidade e a profundidade lírica alinham-se com a proposta artística da MPB.","violão acústico com arpejos melódicos, vocais femininos suaves e expressivos, instrumentos de cordas (violino e/ou violoncelo) adicionando textura e melancolia, ritmo lento e fluído, harmonia sofisticada e melodia emotiva"
forro_Dançando com a Lua (1).mp3,forro,forró,"A música apresenta claramente os elementos típicos do forró, com a sanfona em destaque, a zabumba e o triângulo marcando o ritmo contagiante. A melodia e a instrumentação remetem diretamente ao estilo musical do nordeste brasileiro, com uma atmosfera festiva e dançante.","sanfona (acordeon), zabumba, triângulo, guitarra acústica, contrabaixo, vocal masculino"
forro_Dança da Maré.mp3,forro,carimbo,"A música apresenta uma melodia de flauta proeminente, uma seção de percussão vibrante e dançante com ênfase em tambores e chocalhos, e letras que explicitamente mencionam o 'curimbó', um tambor indígena central para o Carimbó, e a 'dança da maré'. O ritmo e a instrumentação são característicos deste estilo folclórico originário do Pará, Brasil.","flauta melódica, percussão vibrante (tambores e chocalhos), ritmo dançante e sincopado, vocalizações em coro, menção explícita do instrumento 'curimbó' nas letras"
samba_Samba da Madrugada.mp3,samba,samba,"A música apresenta claramente os elementos rítmicos e instrumentais característicos do samba, como o cavaquinho marcante, o pandeiro e outros instrumentos de percussão, criando uma atmosfera festiva e dançante. As letras também fazem referência direta ao estilo.","Cavaquinho, Pandeiro, Violão, Percussão brasileira (tambores, chocalho), Vocais masculinos (solo e backing), Ritmo sincopado e contagiante"
forro_No Forró Sem Você.mp3,forro,forró,"A música apresenta a sanfona como instrumento principal, com um ritmo característico que convida à dança, reforçado pela presença de zabumba e triângulo. A letra também faz menção explícita ao 'forró pé de serra' e ao 'sertão', elementos culturais intrínsecos a esse estilo musical.","sanfona (acordeon), zabumba, triângulo, baixo, violão, vocal masculino, ritmo dançante"
forro_MãosAmigas_FULL_SONG_MusicGPT.mp3,forro,forró,"A música apresenta um ritmo animado e dançante, com a sanfona (acordeon) como instrumento melódico principal e marcante. A melodia alegre, a estrutura rítmica e o estilo vocal são altamente característicos do forró, especificamente do forró pé de serra.","sanfona (acordeon) como instrumento líder, ritmo acelerado e dançante (provavelmente um xote ou baião acelerado), vocal masculino com sotaque regional brasileiro, violão, baixo, bateria com percussão marcante"
rap_Ascensão Suprema (1).mp3,rap,rap,"A música apresenta um vocal masculino em ritmo de spoken word (rap) sobre uma batida de hip-hop bem definida. O piano melancólico e os elementos atmosféricos na produção, juntamente com a performance vocal, são característicos do gênero.","vocal feminino (lamento inicial), vocal de rap masculino, piano, batida de hip-hop (kick, snare, hi-hats), pads de sintetizador"
samba_Dançando na Areia.mp3,samba,carimbo,"A música exibe um ritmo contagiante e tribal, com forte presença de percussão, especialmente tambores marcantes, e um saxofone melódico que conduz a melodia. A vibe é festiva e dançante, e a letra faz referência direta ao 'carimbó no peito', o que confirma a identidade desse estilo musical tradicional da região amazônica do Brasil.","ritmo tribal e acelerado, percussão proeminente (tambores, possivelmente curimbó), saxofone com linhas melódicas e riffs, baixo e guitarra acompanhando, vocal masculino com melodia cativante, atmosfera festiva e culturalmente rica"
samba_Samba da Madrugada (3).mp3,samba,samba,"A música apresenta um ritmo contagiante e sincopado, com o cavaco, violão e percussão tradicional (pandeiro, tamborim) em destaque. A melodia e a interpretação vocal são típicas do gênero, evocando uma roda de samba festiva. As letras também fazem referências diretas ao samba e à batucada.","cavaquinho, violão, percussão (pandeiro, tamborim), ritmo sincopado e dançante, vocalização em coro e solo"
rap_Batalha dos Sexos.mp3,rap,rap,"A música apresenta um ritmo cadenciado com batidas eletrônicas fortes, um baixo proeminente e vocais que seguem um fluxo de fala rítmica e rimada, elementos centrais do rap. A atmosfera geral é de confronto e autoconfiança, características comuns ao gênero.","vocais em rap (spoken word rítmico), batida eletrônica marcante, linha de baixo profunda, sons de scratch/turntable, pads e efeitos sintetizados, efeitos sonoros de impacto e transição"
samba_Encanto da Morena.mp3,samba,forró,"A música apresenta características marcantes do forró, como o uso proeminente da sanfona (acordeão) na melodia e harmonia, o ritmo contagiante e dançante estabelecido pela percussão (notadamente zabumba e triângulo), e a ""vibe"" festiva e alegre, típica das festas juninas e bailes nordestinos. Os elementos vocais e a estrutura da canção também se alinham perfeitamente ao gênero.","sanfona (acordeão), zabumba, triângulo, baixo, violão, voz masculina (solo e coro), ritmo sincopado e dançante, melodia alegre"
mpb_Olhos de Céu.mp3,mpb,mpb,"A música apresenta uma melodia suave e introspectiva, liderada por uma voz feminina delicada e um violão acústico dedilhado. A presença de um instrumento de cordas grave (provavelmente um violoncelo) adiciona uma camada de melancolia e sofisticação à harmonia. A sonoridade acústica e a atmosfera calma são características marcantes da MPB, que frequentemente explora arranjos mais intimistas e letras poéticas.","voz feminina suave, violão acústico dedilhado, instrumento de cordas grave (provavelmente violoncelo), ritmo lento e fluido, atmosfera introspectiva e melancólica"
samba_Saudade do Nosso Sol.mp3,samba,samba,"A música apresenta um cavaquinho proeminente, violão e percussão característica de samba (como pandeiro), que juntos criam a base rítmica e melódica do gênero. A melodia vocal e a temática da letra, que explicitamente menciona 'samba', reforçam a identificação.","cavaquinho, violão, pandeiro, voz feminina, baixo, ritmo sincopado"
samba_Samba do Meu Lugar (1).mp3,samba,samba,"A música apresenta instrumentos característicos como o cavaquinho e o pandeiro, uma percussão marcante e um ritmo syncopado e envolvente, que são elementos fundamentais do samba. A letra também faz referência direta ao samba, descrevendo-o como um guia e um lugar de encontro. A 'vibe' é de celebração e alegria típica das rodas de samba.","cavaquinho, pandeiro, percussão (outros tambores, possivelmente surdo, tamborim), baixo, violão/guitarra, vocal masculino"
