ano,artista,faixa,genero1,id,arquivo,status,fechado_estilo,fechado_confianca,fechado_justificativa,tempo_fechado,aberto_estilo,aberto_subgeneros,aberto_confianca,aberto_justificativa,tempo_aberto
2009,"Kew, Dj LK da Escócia",Descer,funk,33,33_Kew - Descer  (DJ Lk da Escócia)(MP3_160K).mp3,ok,funk,95.0,"A faixa apresenta a batida característica do funk carioca (tamborzão), com vocais rítmicos e produção eletrônica voltada para a dança.",47.283201694488525,Funk Carioca,"Funk Pop, Funk 150 BPM, Eletrofunk",95.0,"A faixa é construída sobre a base rítmica do 'tamborzão', característica fundamental do Funk Carioca. A produção apresenta um acabamento comercial com ganchos melódicos e uso de sintetizadores, alinhando-se ao Funk Pop. O andamento acelerado e a síncope percussiva remetem à estética do 150 BPM, enquanto a textura sonora eletrônica justifica a classificação como Eletrofunk.",31.613648176193237
2020,"PEDRO SAMPAIO, Marina Sena",ESCADA DO PRÉDIO,funk,39,39_PEDRO SAMPAIO_ Marina Sena - Escada Do Prédio (Lyrics)(MP3_160K).mp3,ok,pop,95.0,"A faixa apresenta uma produção eletrônica polida com estrutura de verso e refrão bem definida, característica do pop contemporâneo brasileiro, integrando elementos rítmicos do funk de forma melódica e comercial.",40.69894051551819,Funk Pop,"Funk Carioca, Pop, R&B Contemporâneo, Electro-pop",95.0,"A faixa apresenta uma fusão característica entre a base rítmica do Funk Carioca e a estrutura melódica do Pop. A produção utiliza sintetizadores modernos e uma batida eletrônica polida, típica do cenário mainstream brasileiro. A presença de um solo de saxofone e vocais melódicos adiciona nuances de R&B, enquanto a cadência rítmica mantém a essência do funk.",37.65539336204529
2024,Os garotin,Zero a cem,mpb,190,"190_Os Garotin, Anchietx - Zero a Cem.mp3",ok,pop,95.0,"A faixa apresenta produção polida, vocais melódicos com refrão chiclete e uma mistura de instrumentação acústica com batidas eletrônicas, característica do pop contemporâneo.",24.75415015220642,Pop-Funk,"Soul Brasileiro, R&B Contemporâneo, Groove, MPB Contemporânea",95.0,"A faixa é construída sobre uma base rítmica sincopada característica do funk, com um baixo 'groovado' e bateria estalada. A instrumentação inclui arranjos de metais (metais de sopro) que remetem ao soul clássico, enquanto a produção vocal e a estrutura harmônica, utilizando acordes com extensões (7ªs e 9ªs), inserem a obra no contexto do pop moderno brasileiro. A entrega vocal alterna entre o canto melódico e o fraseado rítmico, demonstrando influências claras de artistas como Jota Quest e Ed Motta.",54.14128065109253
2024,"Luísa Sonza, KayBlack",Sagrado Profano,hip-hop,129,"129_Luísa Sonza, KayBlack - Sagrado Profano.mp3",ok,pop,95.0,"A faixa apresenta uma produção polida com fusão de elementos acústicos e eletrônicos, estrutura rítmica constante e vocais melódicos acessíveis, características centrais do pop contemporâneo brasileiro.",28.393781900405884,Pop Nacional,"Trap-Pop, R&B Contemporâneo, Acoustic Pop",95.0,"A faixa apresenta uma fusão característica do pop brasileiro atual, unindo uma base harmônica de violão acústico a uma seção rítmica eletrônica baseada no Trap, com hi-hats em subdivisões rápidas e sub-graves 808. A performance vocal utiliza métricas do rap em passagens melódicas, definindo uma estética de R&B contemporâneo com forte apelo comercial.",50.247458934783936
2024,"Boladin 211, Dejinha, MC Rick",Penélope Charmosa 2,funk,32,32_Penélope Charmosa 2 - Boladin 211_ Mc Rick_ Dejinha ( DJ all4ddin )(MP3_160K).mp3,ok,funk,100.0,"A faixa apresenta a batida característica do 'tamborzão', vocais repetitivos com gírias urbanas e produção eletrônica típica do funk carioca.",30.803352117538452,Funk Brasileiro,"Funk 150 BPM, Funk Carioca, Eletrofunk",100.0,"A faixa é estruturada sobre a batida característica do 'tamborzão', apresentando uma cadência acelerada e agressiva típica do subgênero 150 BPM. A produção utiliza loops eletrônicos repetitivos, samples de voz e efeitos sonoros comuns em bailes funk. A lírica e a métrica vocal seguem o padrão do gênero, com foco em gírias urbanas brasileiras e temas festivos, consolidando sua identidade dentro do Funk contemporâneo.",48.985071659088135
2018,Marina Sena ,Por Supuesto,mpb,197,197_Marina Sena - Por Supuesto.mp3,ok,mpb,95.0,"A faixa apresenta instrumentação acústica, vocais melódicos com letras poéticas e uma estrutura harmônica sofisticada, características típicas da Música Popular Brasileira contemporânea.",35.69654035568237,Pop Alternativo Brasileiro,"Indie Pop, Nova MPB, Funk-Pop, Tropicalismo Contemporâneo",92.0,"A faixa apresenta uma fusão de elementos rítmicos brasileiros com a estética do pop alternativo global. Destacam-se as guitarras sincopadas, o uso de harmonias jazzísticas típicas da MPB e uma produção que equilibra instrumentos orgânicos com texturas eletrônicas. A entrega vocal é melódica e expressiva, característica da nova geração da música popular brasileira.",43.948888540267944
2025,"Chefin, LB Único",Se Essa Bunda For Uma Empresa,funk,36,36_Chefin - Se essa bunda for uma empresa (prod. LB Único)(MP3_160K).mp3,ok,funk,98.0,"A faixa apresenta a batida característica do funk brasileiro (tamborzão), com vocais rítmicos e produção baseada em batidas eletrônicas e graves acentuados.",39.60887837409973,Trap Funk,"Funk Carioca, Trap, Funk Ostentação, Baile Funk",95.0,"A faixa apresenta uma fusão clara entre a batida característica do Funk Carioca (tamborzão) e elementos de produção do Trap, como graves profundos (808s), hi-hats rápidos e uma atmosfera mais densa. A lírica e o flow do vocalista também remetem ao Funk Ostentação, mantendo a rítmica sincopada típica do gênero brasileiro.",42.1611909866333
2015,Ludmilla,Todo mundo louco,hip-hop,126,"126_LUDMILLA, Capo Plaza, Tropkillaz, Ape Drums - Todo mundo Louco.mp3",ok,funk,98.0,"A faixa apresenta a batida característica do 'tamborzão' do funk carioca, com letras que fazem referência direta ao gênero e uma estrutura rítmica voltada para a dança.",56.56355834007263,Funk Carioca,"Funk Pop, Urban Latino, Global Bass, Funk 150 BPM",100.0,"A faixa é construída sobre a célula rítmica sincopada do 'tamborzão', característica fundamental do Funk Carioca. A produção apresenta uma estética 'Funk Pop' de alta fidelidade, com sub-graves profundos e sintetizadores minimalistas. A colaboração bilíngue (português e italiano) e a estrutura de refrão chiclete inserem a obra no contexto do Global Bass, fundindo a batida periférica brasileira com elementos do trap e do pop urbano internacional.",25.245471715927124
2024,Exaltasamba,Gamei,pagode,189,189_Exaltasamba - Gamei.mp3,ok,pagode,100.0,"A faixa apresenta instrumentação característica do pagode, como o cavaquinho e percussão típica (pandeiro, surdo), além de uma estrutura rítmica e melódica clássica do gênero.",29.39582085609436,Pagode,"Pagode Romântico, Samba-Pop, Samba",100.0,"A faixa exibe as características fundamentais do pagode romântico brasileiro, com uma estrutura rítmica baseada no samba, mas com uma produção voltada ao pop. A instrumentação combina o violão de nylon com uma percussão vibrante e arranjos de metais, típicos das bandas de pagode dos anos 90 e 2000. A interpretação vocal é melódica e expressiva, focada em um refrão 'chiclete' e temática sentimental.",52.7432005405426
2024,Kell Smith,Era uma vez,mpb,198,198_Kell Smith - Era uma Vez.mp3,ok,mpb,95.0,"A composição apresenta arranjo predominantemente acústico com foco no violão, letras poéticas e melódicas, e uma interpretação vocal característica da Música Popular Brasileira contemporânea.",38.81392312049866,Nova MPB,"Pop Folk, Soft Pop, Indie Pop",95.0,"A faixa apresenta características marcantes da Nova MPB, como a instrumentação centrada no violão acústico, letras introspectivas e nostálgicas, e uma produção limpa que funde elementos do Pop e do Folk. A estrutura melódica é acessível, com um refrão cativante e vocais expressivos que priorizam a narrativa lírica.",42.7584924697876
2021,Baco Exu do Blues,20 Ligações,hip-hop,133,133_Baco Exu do Blues - 20 Ligações.mp3,ok,pop,95.0,"A faixa apresenta uma estrutura melódica acessível, produção contemporânea com elementos eletrônicos e orgânicos, e uma cadência rítmica característica do pop mainstream brasileiro.",37.49420976638794,MPB Contemporânea,"Bossa Nova, R&B, Neo-Soul, Hip-Hop, Lo-fi",95.0,"A faixa apresenta uma fusão característica da música brasileira moderna, unindo a rítmica e harmonia do violão de nylon (Bossa Nova) com batidas eletrônicas de influência Hip-Hop e R&B. A interpretação vocal é melódica e relaxada, típica do Neo-Soul, enquanto a progressão harmônica utiliza acordes com extensões jazzísticas, definindo a estética da 'Nova MPB'.",47.354294538497925
2021,Gamadinho,Instinto,pagode,99,99_Gamadinho - Instinto.mp3,ok,pagode,95.0,"A faixa apresenta rítmica característica do samba/pagode, com uso de violão e percussão (pandeiro), além de temática romântica e interpretação vocal típica do gênero.",36.72822046279907,Sertanejo Universitário,"Pop Rock, Pop Romântico, Folk Pop",95.0,"A faixa apresenta uma fusão característica do Sertanejo Universitário com elementos do Pop Rock contemporâneo. A instrumentação é centrada no violão de aço com dedilhados e batidas rítmicas, acompanhada por uma cozinha (baixo e bateria) de padrão pop. A estrutura harmônica é simples e direta, típica de baladas românticas, enquanto a interpretação vocal utiliza ornamentos e inflexões comuns ao gênero sertanejo moderno, mas com uma produção polida voltada para o mercado mainstream.",52.14411997795105
2024,Emicida ,Hoje cedo,hip-hop,132,"132_Emicida, Pitty - Hoje Cedo.mp3",ok,hip-hop,95.0,"A faixa é uma releitura acústica de 'Hoje Cedo', do rapper Emicida. A estrutura é definida por versos rimados com métrica de rap e entrega vocal rítmica, elementos fundamentais do hip-hop.",41.82323384284973,Hip-hop Acústico,"Rap, Beatbox, Pop Rap, MPB Contemporânea",98.0,"A performance é uma releitura da canção 'Hoje Cedo' (Emicida), utilizando uma instrumentação minimalista composta por violão e beatbox. A estrutura alterna entre o 'flow' rítmico do rap nos versos e um refrão melódico, característica marcante do rap nacional moderno que flerta com a MPB. A ausência de elementos eletrônicos e a ênfase na percussão vocal definem a estética acústica e orgânica da faixa.",46.034029722213745
2025,"Mc Vitão, DENNIS",Olha o Gás - Dennis Remix,funk,45,45_Mc Vitão x Sam - Olha o Gás (DENNIS REMIX)(MP3_160K).mp3,ok,funk,100.0,"A faixa apresenta a batida característica do funk carioca (tamborzão), com vocais rítmicos e letras focadas em coreografias, elementos típicos do gênero.",52.15945291519165,Funk Carioca,"Funk 150 BPM, Funk de Passinho, Meme Song",98.0,"A faixa apresenta características marcantes do Funk Carioca contemporâneo, como o andamento acelerado (próximo a 150 BPM), batida sincopada com graves acentuados e vocais rítmicos típicos de MCs. A letra é coreográfica, instruindo passos de dança, o que a enquadra no subgênero 'passinho'. Além disso, utiliza um sample viral ('Oh Gás'), caracterizando-a como uma música de apelo mediático e viral.",36.88978886604309
1996,"Xamã, Agnes Nunes, Neo Beats, Bagua Records",Escorpião,hip-hop,131,"131_Xamã, Bagua Records, Agnes Nunes, Neo Beats - Escorpião.mp3",ok,hip-hop,95.0,"A faixa apresenta rimas rítmicas (rap), batida sincopada com graves acentuados e estrutura característica do hip-hop contemporâneo.",43.78610420227051,Trap,"R&B, Trap-Soul, Hip-Hop, Trap Brasileiro",95.0,"A faixa apresenta elementos característicos do trap, como batidas programadas com hi-hats rápidos e graves 808 profundos, combinados com uma entrega vocal melódica e atmosférica típica do R&B contemporâneo e do Trap-Soul. A produção utiliza sintetizadores etéreos e uma estrutura rítmica sincopada, alinhando-se à estética do trap melódico brasileiro.",45.71034789085388
2005,Teto,Fashion,hip-hop,127,127_Teto - Fashion.mp3,ok,hip-hop,95.0,"A faixa apresenta elementos característicos do trap, um subgênero do hip-hop, como o uso de graves profundos (808s), hi-hats rápidos e uma entrega vocal rítmica e melódica (flow).",56.93197059631348,Trap Brasileiro,"Melodic Trap, Emo Trap, Cloud Rap",98.0,"A faixa é construída sobre uma base rítmica característica do Trap, com sub-graves (808s) profundos, hi-hats rápidos em subdivisões de colcheias e fusas, e uma caixa (snare) marcada no tempo fraco. A performance vocal utiliza o Auto-Tune de forma estética e melódica, fundindo o rap com linhas vocais cantadas, o que define o Melodic Trap. A atmosfera etérea dos sintetizadores e a temática que mistura ostentação com introspecção emocional são pilares do Cloud Rap e do Emo Trap contemporâneo.",34.778035402297974
2020,"Papatinho, Anitta, Dfideliz, BIN",Tá com o Papato (feat. BIN),hip-hop,122,"122_Papatinho, Anitta, Dfideliz, BIN - Tá com o Papato (feat. BIN).mp3",ok,hip-hop,98.0,"A faixa apresenta elementos característicos do trap, um subgênero do hip-hop, como batidas graves (808), hi-hats rápidos e rimas rítmicas faladas (rap).",56.258519411087036,Trap,"Trap Brasileiro, Funk Trap, Pop Rap",100.0,"A faixa apresenta a estrutura rítmica clássica do Trap, com graves 808 proeminentes, hi-hats em tercinas e uma cadência vocal agressiva. A fusão com elementos do Funk Carioca, evidenciada pelo balanço rítmico e pela participação de artistas do gênero, caracteriza o Funk Trap. A produção polida de Papatinho e a estrutura voltada para o mainstream a classificam também como Pop Rap.",36.83775019645691
2020,Liniker,CAJU,mpb,120,120_Liniker - CAJU.mp3,ok,pop,95.0,"A faixa apresenta estrutura melódica característica do pop contemporâneo brasileiro, com produção limpa, foco nos vocais e letras sentimentais, mesclando elementos acústicos e eletrônicos.",50.935359477996826,Nova MPB,"Pop Brasileiro, Bossa Nova, Indie Pop, Hip-hop",95.0,"A faixa exemplifica a estética da Nova MPB ao fundir elementos tradicionais, como o violão com levada de Bossa Nova, a uma produção pop contemporânea. O fraseado vocal apresenta uma métrica rítmica influenciada pelo hip-hop, enquanto o refrão foca na melodia expansiva característica do pop. A instrumentação equilibra timbres orgânicos e texturas eletrônicas modernas.",44.11462354660034
2021,MC Cabelinho,EU TE AVISEI,hip-hop,128,"128_MC Cabelinho, Dallass - EU TE AVISEI.mp3",ok,hip-hop,95.0,"A faixa apresenta elementos característicos do trap, um subgênero do hip-hop, como batidas com graves profundos (808s), hi-hats rápidos e sincopados, além de um flow vocal rítmico e melódico.",57.95520305633545,Trap Brasileiro,"Melodic Trap, Pop Trap, Hip Hop",100.0,"A faixa é construída sobre uma base rítmica de Trap, caracterizada pelo uso proeminente de sub-graves (808), hi-hats em semicolcheias e fusas (triplets) e uma caixa (snare) seca e estalada. O uso estético de Auto-Tune nas vozes, aliado a um flow que transita entre o rap e o canto melódico, classifica a obra como Melodic Trap. A estrutura de produção é voltada para o consumo comercial, com refrões ganchosos e temática de ascensão social, típica do cenário Pop Trap nacional.",37.95313477516174
2023,"Henrique & Diego, Matheus & Kauan",Ciumento Eu (feat. Matheus & Kauan) - Ao Vivo,sertanejo,3,3_Henrique _ Diego - Ciumento Eu ft. Matheus _ Kauan(MP3_160K).mp3,ok,sertanejo,95.0,"A música apresenta características típicas do sertanejo universitário, como o uso de violão, bateria e uma temática lírica romântica/sentimental, além do estilo vocal característico do gênero.",45.58849215507507,Sertanejo Universitário,"Sertanejo Pop, Pop Rock Brasileiro, Arrocha",100.0,"A faixa apresenta a instrumentação característica do sertanejo contemporâneo, unindo o violão de aço a guitarras elétricas com timbres de pop/rock. A estrutura harmônica é simples e direta, focada em um refrão memorável e letras de temática romântica/cotidiana. O ritmo é acelerado, com uma levada que flerta com o pop-rock nacional, mantendo a dicção e os ornamentos vocais típicos do gênero sertanejo universitário.",50.764238357543945
2024,Prettos,O show tem que continuar,pagode,187,"187_Prettos, Sombrinha, Magnu Sousá, Maurilio de Oliveira - O Show Tem Que Continuar - Ao Vivo.mp3",ok,pagode,100.0,"A instrumentação é centrada no cavaquinho e pandeiro, com ritmos de samba característicos do pagode. A estrutura melódica e o coro participativo são elementos típicos de apresentações ao vivo deste gênero.",32.01453733444214,Pagode,"Samba de Raiz, Partido Alto, Samba-Pagode",100.0,"A faixa apresenta a instrumentação canônica do gênero, centrada no cavaquinho, violão e uma base percussiva orgânica composta por pandeiro, tantã e surdo. A rítmica é fundamentada no samba sincopado em compasso binário (2/4), com a presença marcante de coros responsivos e uma atmosfera de 'roda de samba' ao vivo. A estrutura melódica e a temática lírica são características do pagode contemporâneo, que une a tradição do samba de raiz com uma produção voltada para grandes públicos.",65.78710699081421
2021,Grupo fundo de quintal,A amizade,pagode,186,186_Grupo Fundo De Quintal - A Amizade.mp3,ok,pagode,100.0,"A instrumentação com cavaquinho, pandeiro e surdo, aliada ao ritmo de samba e estilo vocal melódico, caracteriza o gênero pagode.",51.87756848335266,Samba,"Pagode, Samba de Raiz, MPB",95.0,"A faixa apresenta elementos fundamentais do samba, como a rítmica sincopada em compasso binário (2/4) e a instrumentação característica composta por cavaquinho, violão e percussão (pandeiro, surdo). A estrutura vocal, com coros participativos e vocalizações melódicas ('la-la-la'), é típica do pagode, especialmente em sua vertente mais acústica e comunitária. A harmonia e a temática lírica sobre amizade reforçam a classificação dentro do gênero popular brasileiro.",46.657814502716064
2017,"DJ Douglinhas, DJ Miller Oficial, MC Torugo",Puta É Só um Detalhe,funk,34,34_PUTA É SÓ UM DETALHE (FUNK)(MP3_160K).mp3,ok,funk,98.0,"A faixa apresenta a batida característica do funk brasileiro (tamborzão), com letras explícitas e rítmica vocal típica do gênero.",52.383522510528564,Funk Carioca,"Funk Proibidão, Funk de Fluxo, Funk Consciente",98.0,"A faixa apresenta a batida característica do Funk Carioca, com elementos percussivos eletrônicos sincopados. A lírica aborda temas de hedonismo, ostentação e sexualidade explícita, típicos do subgênero 'proibidão'. A estrutura da música, com saudações a DJs e repetição de refrões voltados para a dança, é emblemática do cenário de fluxos e bailes de rua.",46.543010234832764
2020,Maiara & Maraisa,Narcisista - Ao Vivo,sertanejo,18,18_Maiara e Maraisa - Narcisista - Ao Vivo em Portugal(MP3_160K).mp3,ok,sertanejo,98.0,"A faixa apresenta características centrais do sertanejo universitário, como a temática lírica focada em conflitos amorosos e 'sofrência', aliada a uma interpretação vocal melódica e arranjos que mesclam elementos do pop com a estrutura rítmica do gênero.",47.0543327331543,Pop Rock Nacional,"Sertanejo Universitário, Pop Contemporâneo, Rock Alternativo Brasileiro",95.0,"A faixa apresenta uma fusão característica do mercado mainstream brasileiro atual, mesclando a instrumentação do Pop Rock (guitarras distorcidas, bateria orgânica) com a estética vocal e temática lírica do Sertanejo Universitário. A estrutura harmônica é acessível, focada em um refrão explosivo e emocional, enquanto os versos utilizam o violão de nylon para criar uma atmosfera intimista, típica das baladas de 'sofrência'.",54.5575065612793
2016,Djonga ,Solto,hip-hop,124,"124_Djonga, Hot, Coyote Beatz - SOLTO.mp3",ok,hip-hop,100.0,"A faixa apresenta elementos característicos do gênero, como batida boom-bap em 4/4, rimas rítmicas (flow) e instrumentação baseada em loops melódicos e graves acentuados.",58.041173219680786,Trap-Bossa,"Lo-fi Hip Hop, MPB, Jazz Rap, Rap Acústico",95.0,"A faixa apresenta uma fusão sofisticada entre a rítmica do Trap e a harmonia da Bossa Nova. O uso de violão de nylon com acordes dissonantes e extensões (7as e 9as) estabelece a base brasileira, enquanto a batida eletrônica cadenciada e o flow melódico do rap conferem a estética urbana contemporânea. A produção preza por uma sonoridade orgânica e relaxada, típica do movimento Lo-fi.",43.66340231895447
2025,Exaltasamba,Me apaixonei pela pessoa errada,pagode,188,188_Exaltasamba - Me Apaixonei Pela Pessoa Errada.mp3,ok,pagode,100.0,"A faixa apresenta instrumentação característica do gênero, como cavaquinho e percussão (pandeiro e surdo), além de uma estrutura rítmica em 2/4 e temática lírica romântica típica do pagode dos anos 90.",55.023648262023926,Pagode,"Pagode Romântico, Samba, Samba-Pop, Pagode 90",100.0,"A faixa é um exemplo clássico do Pagode Romântico brasileiro, caracterizado por uma base rítmica de samba (2/4) com ênfase em instrumentos como pandeiro, surdo e violão de nylon. A harmonia é acessível e a melodia é focada no apelo comercial e sentimental. A estrutura lírica aborda desilusões amorosas e paixões proibidas, elementos centrais do subgênero que dominou as paradas de sucesso no Brasil na década de 1990.",47.92806077003479
2025,Gusttavo Lima,Mundo de Ilusões - Ao Vivo,sertanejo,9,9_Gusttavo Lima - Mundo de Ilusões (Clipe Oficial)(MP3_160K).mp3,ok,sertanejo,98.0,"A faixa apresenta elementos centrais do sertanejo universitário, incluindo o uso proeminente do acordeão, letras focadas em relacionamentos e traição, além da técnica vocal característica do gênero.",41.99981760978699,Sertanejo,"Sertanejo Universitário, Arrocha, Sertanejo Romântico, Ao Vivo",100.0,"A faixa apresenta características fundamentais do Sertanejo contemporâneo, como a instrumentação baseada em violão, bateria e baixo com uma levada rítmica acelerada e dançante. O estilo vocal é expressivo, com o timbre e as modulações típicas do gênero. A temática lírica aborda relacionamentos e a vida noturna ('boteco'), elementos centrais do Sertanejo Universitário. A presença de elementos do Arrocha na rítmica e a gravação ao vivo com interação direta com o público reforçam a classificação.",62.24254584312439
